up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
37,-5,4-Oct-24,20112,1415,0.11,1415,78.87,0.05,0.35,-10200,114,-255,319,0.04,0,49.38,0.16,-18.12,2130328,813091,-0.15,2.6,2.6,61997,24105,-0.05,-0.01,19.77,1.92,0.17,0.49
32,2,4-Oct-24,20114,1412,0.12,1412,80.73,0.05,0,831,2895,55,25,0.04,0.01,64.15,0.16,-18.47,2140528,812977,-0.15,2.6,2.6,62252,23786,0,-0.01,19.76,1.87,0.2,0.48
25,10,4-Oct-24,20121.5,1409,0.1,1409,83.95,0.04,-2.79,-36370,11793,-1216,384,0.05,0,76.88,0.15,-18.47,2139697,810082,-0.15,2.6,2.6,62197,23761,-0.09,-0.09,19.76,1.87,0.23,0.49
25,6,4-Oct-24,20117.5,1406,0.11,1406,95.62,0.03,2.44,-12595,-437,-300,193,0.06,0.02,83.24,0.15,-15.68,2176067,798289,-0.15,2.7,2.7,63413,23377,-0.04,-0.01,19.84,2.27,0.35,0.57
28,3,4-Oct-24,20115,1403,0.13,1403,95.63,0.05,22.19,16308,-5160,542,-66,0.06,0.02,71.86,0.13,-18.12,2188662,798726,-0.15,2.7,2.7,63713,23184,0.03,0.04,19.77,1.92,0.33,0.5
29,2,4-Oct-24,20113.75,1400,0.13,1400,99.62,0.03,2.58,61662,-17597,1752,-443,0.06,0.02,53.23,0.11,-40.31,2172354,803886,-0.17,2.7,2.7,63171,23250,0.13,0.13,19.74,1.77,0.35,0.47
4,17,4-Oct-24,20129.25,1357,0.12,1357,99.01,0.02,0.32,-11441,6075,-298,144,0.05,0.01,25.13,0.09,-42.89,2110692,821483,-0.18,2.6,2.6,61419,23693,-0.03,-0.03,19.66,1.37,0.33,0.38
2,15,4-Oct-24,20127.25,1354,0.12,1354,106.16,0.03,7.39,92930,-42076,2994,-890,0.05,0.03,-5.46,0.08,-43.21,2122133,815408,-0.18,2.6,2.6,61717,23549,0.22,0.23,19.65,1.32,0.36,0.37
-21,38,4-Oct-24,20150,1351,0.11,1351,83.59,0.02,2.89,21222,-4319,643,-120,0.04,0,-31.39,0.05,-50.6,2029203,857484,-0.19,2.4,2.4,58723,24439,0.04,0.04,19.42,0.15,0.17,0.14
-13,51,4-Oct-24,20163,1348,0.13,1348,73.27,0.02,1.93,37937,-14965,1125,-349,0.04,0.01,-22.3,0.05,-53.49,2007981,861803,-0.2,2.4,2.3,58080,24559,0.07,0.08,19.33,-0.31,0.1,0.04
-7,56,4-Oct-24,20169.75,1345,0.11,1345,66.2,0.02,-5.46,-37937,13088,-1065,383,0.04,-0.01,4.53,0.04,-55.42,1970044,876768,-0.2,2.3,2.2,56955,24908,-0.08,-0.07,19.27,-0.62,0.06,-0.02
36,20,4-Oct-24,20133.75,1342,0.12,1342,94.57,0.03,-5.47,-61187,22015,-1664,684,0.06,0.01,45.05,0.05,-49.96,2007981,863680,-0.19,2.4,2.3,58020,24525,-0.13,-0.14,19.44,0.26,0.24,0.15
67,-11,4-Oct-24,20103.25,1339,0.12,1339,130.57,0.04,7.72,95845,-35103,3161,-866,0.06,0.04,72.75,0.04,-44.49,2069168,841665,-0.18,2.5,2.5,59684,23841,0.21,0.21,19.61,1.12,0.44,0.32
34,33,4-Oct-24,20136.25,1336,0.08,1336,114.49,0.01,4.17,63585,-23308,1845,-657,0.04,0.02,79.28,0,-52.21,1973323,876768,-0.2,2.3,2.3,56523,24707,0.13,0.13,19.37,-0.1,0.24,0.08
7,60,4-Oct-24,20163.25,1333,0.07,1333,92.74,0.01,-1.28,-28919,5931,-807,277,0.04,0.01,70.31,-0.02,-56.38,1909738,900076,-0.2,2.2,2.1,54678,25364,-0.05,-0.05,19.24,-0.78,0.13,-0.04
23,43,4-Oct-24,20146.5,1330,0.06,1330,106.64,0.01,1.93,20517,-11516,472,-314,0.04,0.01,63.57,-0.03,-55.1,1938657,894145,-0.2,2.2,2.2,55485,25087,0.04,0.05,19.28,-0.57,0.18,0
